rank,artist,track,topic
158,Steely Dan,Josie,0
159,Stone Temple Pilots,Sex Type Thing,-1
160,The Black Keys,Ten Cent Pistol,-1
162,The Smiths,How Soon Is Now?,-1
163,Young M.C.,Bust a Move,-1
164,Bebel Gilberto,Simplesmente,0
166,Living Colour,Cult of Personality,0
167,Radiohead,I Might Be Wrong,0
168,Stone Temple Pilots,Dumb Love,0
169,The Cult,Wild Flower,0
171,Aerosmith,Round and Round,0
172,Alice in Chains,Nutshell,0
175,Creedence Clearwater Revival,Born on the Bayou,0
176,Death from Above 1979,Blood on Our Hands,0
177,Depeche Mode,Walking in My Shoes,0
178,Evil Nine,Devil Stuff,0
179,G. Love & Special Sauce,Shy Girl,0
180,Heart,Barracuda,0
181,Madlib,Mystic Bounce,0
182,Ozzy Osbourne,Bark at the Moon,0
183,Queens of the Stone Age,Do It Again,0
184,Steve Miller Band,Abracadabra,1
185,The Cult,In the Clouds,0
186,The Cult,Soul Asylum,0
188,Coldplay,Clocks,0
189,Duran Duran,Rio,-1
190,Johnny Cash,Ring of Fire,-1
191,Kylie Auldist,Cut You Loose,-1
192,Led Zeppelin,Babe I'm Gonna Leave You,-1
193,No Doubt,It's My Life,-1
194,Queens of the Stone Age,Villains of Circumstance,0
195,Soundgarden,Jesus Christ Pose,0
196,The Champs,Tequila,0
197,Them Crooked Vultures,Caligulove,0
199,Black Lips,Veni Vidi Vici,0
200,Built to Spill,Goin' Against Your Mind,-1
201,INXS,The Gift,0
202,Joseph,Canyon,0
203,Lenny Kravitz,Always on the Run,0
204,M.I.A.,Bad Girls,0
205,Mad Season,X-Ray Mind - Live at The Moore,0
206,MSTRKRFT,It Aint Love,0
207,Queens of the Stone Age,Little Sister,0
208,The Black Angels,Black Isn't Black,0
209,Van Halen,Atomic Punk,0
210,Eagles of Death Metal,I'm Your Torpedo,0
211,Soundgarden,Holy Water,0
212,Temple of the Dog,Pushin' Forward Back,0
213,The Black Angels,The Prodigal Sun,-1
214,The Black Keys,Have Mercy On Me,0
215,The Stooges,Down On The Street,-1
216,U2,One,3
218,Zero 7,In the Waiting Line,0
219,Alice in Chains,A Little Bitter,0
220,blink-182,Adam's Song,0
221,Coldplay,Adventure of a Lifetime,-1
222,Death from Above 1979,Government Trash,0
223,Eagles of Death Metal,Long Slow Goodbye,0
224,Gary Clark Jr.,When My Train Pulls In - Live,0
225,Journey,Separate Ways,0
226,Nine Inch Nails,The Hand That Feeds,-1
227,Nirvana,The Man Who Sold the World,-1
228,No Doubt,Don't Speak,3
231,Soundgarden,Fresh Tendrils,0
232,The Black Keys,Lo/Hi,0
233,The Bright Light Social Hour,Sea Of The Edge,-1
234,The Cult,She Sells Sanctuary,-1
235,UNKLE,Chemical Feat Josh Homme,0
237,Van Halen,On Fire,-1
238,Aerosmith,Train Kept a Rollin',-1
239,Black Rebel Motorcycle Club,Shuffle Your Feet,0
240,Death from Above 1979,Free Animal,0
241,Deee-Lite,Groove Is in the Heart,-1
243,Holy Barbarians,Brother Fights,0
244,Jack White,I'm Shakin',1
245,Led Zeppelin,Kashmir,0
247,No Doubt,Hey Baby,0
249,Radiohead,Knives Out,0
250,The Cult,Edie (Ciao Baby),0
251,The Dead Weather,I Can't Hear You,-1
253,The Police,Roxanne,0
254,Tom Morello,Where It’s At Ain’t What It Is (feat. Gary Clark Jr. and Nico Stadi),-1
255,UNKLE,Burn My Shadow (Featuring Ian Astbury),-1
256,UNKLE,Ghosts,0
257,Zero 7,Destiny,0
258,Beastie Boys,Body Movin',-1
259,Built to Spill,Mess With Time,0
260,Death Cult,A Flower in the Desert,0
261,Josh Homme,All the Same,0
262,Madonna,Sorry,0
263,Primus,John the Fisherman,0
265,Soundgarden,Like Suicide,-1
266,The Cult,American Horse,0
267,Torre Florim,Firestarter,0
268,Alice in Chains,Down in a Hole,0
269,Beastie Boys,Sure Shot,0
270,Beck,Qué Onda Guero,0
271,Black Rebel Motorcycle Club,Spread Your Love,0
272,Deftones,No Ordinary Love,0
274,M.I.A.,10 Dollar,0
275,M.I.A.,Lovalot,0
276,Pink Floyd,Learning to Fly,2
277,Queens of the Stone Age,Fortress,-1
278,Queens of the Stone Age,In the Fade,0
279,Radiohead,Everything in Its Right Place,0
280,Rival Sons,Feral Roots,0
281,Soundgarden,New Damage,0
282,U2,Please,0
283,Van Halen,Drop Dead Legs,0
284,Wolfmother,White Unicorn,0
285,Alice in Chains,Don't Follow,-1
286,"Beck, Bogert & Appice",Superstition,-1
287,Interpol,Untitled,0
288,Journey,Stone in Love,-1
289,Led Zeppelin,Ten Years Gone,0
290,Public Enemy,Fight the Power,0
291,Queens of the Stone Age,Hideaway,-1
292,Rage Against the Machine,Down on the Street,-1
293,Rival Sons,Pressure and Time,-1
294,Sonic Youth,Rats,0
295,The Romantics,Talking in Your Sleep,0
296,The Sundays,Wild Horses,0
300,De La Soul,Me Myself and I,0
301,Death from Above 1979,Losing Friends,4
302,Frankie Goes to Hollywood,Relax,-1
303,INXS,The One Thing,0
304,Kool Keith,Poppa Large,0
305,Loretta Lynn,Portland Oregon,0
306,Mountain,Mississippi Queen,0
309,Patrick Sweany,Them Shoes,0
310,Queens of the Stone Age,First It Giveth,0
312,Queens of the Stone Age,The Evil Has Landed,0
313,Radiohead,Airbag,0
315,Soundgarden,Loud Love,0
316,Stone Temple Pilots,Interstate Love Song,0
317,The Black Angels,The Sniper at the Gates of Heaven,-1
318,The Black Keys,Crawling Kingsnake,0
319,The Cult,Coming Down (Drug Tongue),-1
320,The Cult,Painted On My Heart,0
321,The Dead Weather,Blue Blood Blues,0
322,The Police,Synchronicity II,0
323,The Power Station,Get It On (Bang A Gong),0
324,The Rolling Stones,Undercover (of the night),0
326,Beck,Dreams,0
329,Death from Above 1979,Little Girl,0
330,Janet Jackson,Got 'Til It's Gone,0
331,Johnny Cash,Personal Jesus,0
332,Madonna,Jump,-1
334,Rival Sons,Belle Starr,-1
336,The Black Angels,Young Men Dead,0
337,The Power Station,Some Like It Hot,-1
340,A Flock of Seagulls,I Ran (So Far Away),0
341,A Perfect Circle,The Hollow,0
342,Bob Marley & The Wailers,Could You Be Loved,0
343,Depeche Mode,Precious,0
344,Desmond Dekker,007 (Shanty Town),0
346,Gary Clark Jr.,Numb,0
347,Jimi Hendrix,Voodoo Child (Slight Return),0
348,Joseph,Nervous System,-1
350,Mad Season,River of Deceit,-1
352,Skee-Lo,I Wish,-1
353,Spinnerette,Ghetto Love,0
354,The Cult,Fire Woman,0
355,The Cult,Sun King,0
356,The Rolling Stones,Gimme Shelter,0
357,U2,Acrobat,0
358,UNKLE,Keys To The Kingdom (Featuring Gavin Clark),0
359,Urban Dance Squad,Deeper Shade Of Soul,0
360,Aerosmith,Back in the Saddle,0
362,C.W. Stoneking,Mama Got The Blues,0
364,Death from Above 1979,Modern Guy,0
365,Depeche Mode,Personal Jesus,0
366,Eagles of Death Metal,Save a Prayer,2
368,Jamiroquai,Canned Heat,0
369,Khruangbin,Mr. White,0
370,LCD Soundsystem,Time to Get Away,0
371,Mr. Oizo,Flat Beat,-1
372,No Doubt,Too Late,0
373,Pat Benatar,Shadows of the Night,0
376,Rival Sons,Open My Eyes,0
379,Soundgarden,Hands All Over,0
380,Soundgarden,Let Me Drown,0
381,The Avalanches,Close to You,-1
382,The Cult,Naturally High,-1
383,The Tubes,She's a Beauty,-1
385,U2,Where the Streets Have No Name,0
387,Air,La femme d'argent,0
388,Alice in Chains,I Know Somethin (Bout You),0
389,Eagles of Death Metal,Family Affair,0
391,Interpol,NARC,-1
392,Jack White,Pablo Picasso,-1
393,Jane's Addiction,True Nature,-1
395,Lenny Kravitz,Ride,-1
396,Level 42,Something About You - Single Version,-1
397,Mad Season,Long Gone Day,0
398,Madonna,La Isla Bonita,-1
399,MSTRKRFT,So Deep,-1
400,Queens of the Stone Age,I Never Came,-1
402,S.P.Y,Love & Hate,0
403,Soundgarden,Rusty Cage,-1
404,Stone Temple Pilots,Sin,0
405,The Brian Jonestown Massacre,Straight Up and Down,-1
406,The Cult,Indian,0
407,The Dead Weather,60 Feet Tall,-1
409,Them Crooked Vultures,Reptiles,0
411,U2,Red Hill Mining Town,0
412,Alice in Chains,God Smack,4
413,Armik,Rubia,0
414,Beastie Boys,Make Some Noise,0
415,Beck,Tropicalia,0
416,Björk,Army of Me,-1
419,Eagles of Death Metal,Abracadabra,1
421,Gary Clark Jr.,Come Together,0
422,Gorillaz,19-2000,0
423,Holy Barbarians,She,0
424,How to Destroy Angels,A Drowning,0
425,INXS,Suicide Blonde,0
426,Jamiroquai,Feels Just Like It Should,0
428,Led Zeppelin,Going to California,0
429,Mötley Crüe,Home Sweet Home,0
430,MSTRKRFT,Heartbreaker,-1
431,No Doubt,Hella Good,-1
432,No Doubt,Simple Kind of Life,-1
433,Spectrasoul,Say What,0
434,Steely Dan,Do It Again,0
435,Stone Temple Pilots,Down,-1
437,The Black Keys,Everlasting Light,0
438,The Black Keys,Louise,0
440,The Mars Volta,Cicatriz ESP,0
441,The Police,Every Breath You Take,0
442,The Presidents of the United States of America,Peaches,0
443,The Prodigy,Spitfire,0
444,Unkle featuring Josh Homme,Chemical Feat Josh Homme,0
445,Van Halen,Hot for Teacher,0
446,Arcade Fire,Haiti,0
447,Beastie Boys,Shake Your Rump,0
448,Blondie,Atomic,0
449,Cake,The Distance,-1
450,Cypress Hill,Cock the Hammer,0
451,De La Soul,"A Roller Skating Jam Named ""Saturdays""",0
452,deadmau5,Charlie can't dance,0
453,Deftones,Be Quiet and Drive (Far Away),0
454,Depeche Mode,It's No Good,0
458,Hall & Oates,Kiss on My List,-1
460,How to Destroy Angels,The Space in Between,-1
461,James Brown,Soulful Christmas,0
462,Khruangbin,People Everywhere (Still Alive),0
464,M.I.A.,The Message,0
465,Mad Season,Lifeless Dead,0
466,Mark Lanegan,Beehive,-1
467,PJ Harvey,Long Snake Moan,0
468,Primus,My Name Is Mud,0
469,Queens of the Stone Age,Long Slow Goodbye (live),0
470,Red Hot Chili Peppers,Give It Away,0
471,Red Hot Chili Peppers,Taste the Pain,0
472,Rival Sons,Look Away,0
473,The Black Keys,"Sad Days, Lonely Nights",0
474,The Brian Jonestown Massacre,Anemone,0
475,The Bright Light Social Hour,Ghost Dance,-1
476,The Bright Light Social Hour,Slipstream,0
478,The Presidents of the United States of America,Kitty,0
479,The Prodigy,Smack My Bitch Up,0
480,The White Stripes,Ball and Biscuit,0
484,Van Halen,Outta Love Again,0
485,Van Halen,Why Can't This Be Love,0
486,Weezer,Island in the Sun,0
487,A Tribe Called Quest,Excursions,0
488,Bebel Gilberto,Cada Beijo,0
489,Beck,Black Tambourine,0
490,Beck,Lost Cause,-1
491,Beck,Sunday Sun,0
492,Daryl Hall & John Oates,I Can't Go For That (No Can Do),0
494,Death from Above 1979,Trainwreck 1979,0
495,Desert Sessions,Nenada,-1
497,Fela Kuti,Question Jam Answer,0
498,Gold Chains,I Come From San Francisco,0
500,Janet Jackson,That's the Way Love Goes,0
